,Review,Label
95173,"the course is fast paced and the videos do not cover all of what is necessary to know to pass the assignments. however, this is not a problem as all the necessary references are given. the problem is the way the programming assignments are designed and the automatic grader, which should definitely be improved. some times you spend hours to figure out what is wrong and you finally find out that you have a precision error because of using a library function instead of another (same purpose) or you spend our to manipulate a pandas dataframe to respond to the specifications, except that all that time is wasted as the grader will accept the first version even if the index does not respond to the requirement (for instance). so, if you want to take it, prepare to fight with the grader. positive point: excellent help on the forums, you will not be left alone.",1
49828,what a wonderful course!!!,2
88206,the teacher can explain more and not just read through the slides.,0
96828,"that was quite a fascinating course, at least for someone who does not know anything about anthropology. the tutor did an outstanding job and also provided good readings. highly recommended.",2
99683,"this course needs tremendous improvement. in contrast to previous fundamentals of quantitative modelling module, this lags in lot of areas. no clear explanations and the quizzes are worded super vague and filled with with bugs. i expected a lot under monte carlo simulation. however, too simplistic example and explanation was presented. the topics were not introduced clearly.",1
23319,very inspirational and easy to follow.,2
72074,i have reached my professional goals thanks to the courses i have taken on coursera.,2
42325,i just started the course and i'm going to stop this course right away. in my opinion showing hitler as an appropriate leader is not the course i want to visit! i do not upport any racist mindset.,0
39505,introduction is fine. but was less interactive. found instructor reading slides only throughout the lecture which was boring and less interesting. like other coursera course i found it boring whatever text on slide i learnt but nothing interactive and practical. just a slide reading. very much theoretical. disappointed,0
106216,this was the worst course i have taken with asu on coursera. feedback was minimal and the system had many technical issues. videos didn't start properly and there was no help or feedback from the instructors or the peers. i have wasted a lot of time resubmitting my assignments due to technical issues. waste of my time.,0
204,"course was not easy to grasp, lost interest after the first week and i barely got through the quiz at the end.",0
32156,great course! :),2
15882,i don't like pay to submit courses.,0
7569,very informative and i understand clearly.,2
81252,i have learned a lot about seo from this course. 100% excellent course.,2
72317,"great assignments! very practical oriented course. after finishing, i really feel that i learned something and improved my skills.",2
78935,"this course will teach you a little bit of statistics and leave you confused with r. the first four weeks are very straightforward. they give r code for everything. however, this is not good because it does not prepare you well for the last project in which you have to do the whole project using r. this is almost like learning how to cook without knowing how to use a knife.",0
95986,"i felt the course was ok, but wanted more. it seemed very general, even with the focus in the end on e-types.",1
37894,great course. fast paced for the absolute beginner,2
106729,its a great course that gives a lot of good and solid and useful information about the issues at work.,2
4571,"so many equations presented without explaining why these things work or how they are derived. i'm having a hard time seeing the relevance. also, i learned a lot of these statistics in college and the explanations provided in these lessons actually confused me about things i already know. very disappointed in this course. especially since part 1 of the specialization was so good.",0
13903,"very, very, very basic intro. the entire 4 weeks could have (and should have) been condensed into 1 week.",0
50968,"difference between a software project and a software product - of course it is defined by convention, but it is there and is pretty generally understood. typical software projects are bespoke applications developed for the use of one organization and typically automates a business process. a s/w product, on the other hand, is built and sold to a range of users in the target group, who can be individuals to large organizations. this course does not seem to address any of the issues faced by a s/w product manager. i think this course completely misses the point.",0
104880,very difficult to understand and follow,0
10634,"this seemed more appropriate for a startup, and most of the content was rudimentary",0
100461,really didn't like the course.,0
104156,there is no any discusson forums in there. it's so disappointing. i've paid for course and unable to ask questions.,0
6543,the course appears unfinished and very disorganized. the lectures are monotonous and boring.,0
98094,"my congratulations for this course. was a great experience to learn about this topic and the important for our future.additionally, i would like to make some suggestions especially related with approach on developed countries, developing countries and the data stat.inside these aspects should be included examples related with latin america, asia and another regions that not been included between the classics examples of developed countries.thanks for this course.",2
100403,"this course is a good first step towards research in any field. research is something important and delicate and this is a great way to start understanding its purpose, tools and activities.",2
57795,a very good course,2
2396,very good trip !,2
49485,"the professor lecturers were great! i enjoyed watching the his videos. however, theres's still room for some improvement. for example, i would add /more/ technical info at the video slides and also a /lot/ of literature related to iot and embedded systems.",1
12443,good experience of using the big data tools but a total lack of engagement in the forums by the instructors and community mentors make it hard going if anything goes wrong. the final quiz took me over 8 hours mostly because there was no one to ask for hints when i was totally stuck and confused!,1
79643,"very interesting, high scientific content, topics are progressives and lead to a good comprehension of the physical phenomenon on going.exercices are a good complement to the main lecture.experiment captured in video were a very good surprise.",2
89983,it could be a bit more challenging than just running scripts.,0
12753,thank you for this course. it was very interesting,2
61642,"un-organized, scattered non professional course. all the materials keep changing during the course. materials in each module includes readings and exams were not related. though, i enjoyed the other courses in this series and think they were great, but i am afraid this one was a real disappointment.",0
95313,"content is actually very good, i can feel the content creator and staffs emphasis on real world problems. projects and assignments are quite useful, and i can expect to use skills i acquired in my day to day work. however, the most agonizing parts of this course is it requires tremendous of time to do self-study. i spend tons of time on google search, reading docs and go over other people's post on various forums in order to find the right way(sometimes optimal way) to finish the assignments. i understand and accept that self-study is very import to master things nowadays, but i really think gap is too big between what was taught in class and what you need to complete this course, especially for people that has zero data science programming experience like me.i'd rather spend time watching 2 more hours of teaching videos per week that can cover more aspects/topics/tips/tricks than go over lots of docs and posts. i won't deny i learned a lot through this course, but i believe my learning curve can be flatten significantly if there is more class materials available. if the majority of course is spent on googling, what's the point to take it?",0
67077,"great content. teaching style could be improved for the medium. a couple of errors that should be rectified. the course seems poorly maintained. it is pity because it is content really valuable and ""hot"".",2
76537,"i didn't like how there was no interaction with the other classmates or there was no easy way to comment, but i loved the way it was so interactive",1
65186,this course and its related courses are rough around the edges. things are not always intuitive.,0
5675,"the entirety of this course is ""watch and listen"". there are no hands-on activities/assignments that get you implementing what you are (supposedly) learning. the assignments that are offered are optional and consist of filling in the blank code without actually providing you a way to see how your code works in the big picture.for example - they go on and on about how intents are complicated and tricky, but they don't actually give you a required assignment. it's optional. then the actual assignment is ""do this here, and this here, and then this here"" and only when you have completed every step can you actually run the code. but this doesn't actually show you how to build the intent. all you did was write down what they told you to and where. you never actually build anything yourself. you don't actually get an idea of how these things work or how to implement them yourself from scratch.the quizzes are also pointless. every quiz is multiple choice, select all that apply. there's no thought required, just regurgitation of info from the lectures.also, the entire week 1 lectures are horrible. the lectures on git are sssoooo dull that i could not stay awake no matter how much i wanted to. they are given in a monotone, bored tone that will drive you insane.overall, this course seems more like it was hastily slapped together, without much thought, and then never looked at again. i would not recommend anyone take this course, let alone pay for it.",0
61603,"the lessons on presentation skills and traditional media should have taken just one one or two minutes, and one or two slides, at most. the details and time invested really had little to do with digital marketing or the digital landscape. the use of the hand-written pros and cons was an unnecessary novelty. regular bullet text are more readable and technically more reliable. most of all, the presenter's style was distracting. it seemed that she was unsure of her subject matter and script. i recommend re-scripting and rehearsing the presentation -- before re-shooting it. finally, with the rapid pace of change in digital, we should not be using reading material more than two or three years old. five years is tantamount to a generation in the digital world.",0
4318,"pros:- classification lecture is good;-weekly assignments are challenging enoughcons- no slides provided. professor draws on an eletronic chalkboard (with a very bad handwriting) and you need to keep going back to videos when you are doing the homework. for me, this shows lack of professionalism and laziness- some excel sheets are provided. but they are very messy and badly formatted, matching the messy handwriting in the videos. and, the instructions are for mac! no instructions for pc are provided whatsoever. i never used mac, so i had a very hard time!- very few examples real examples are provided;- you learn math concepts, not excel skills! except for the linest function, which is very handy, but it's not taught in the videos. i had to google the function to learn it.- they say to complete each piece of the final assingment after you finish the respective week related to that piece. but they only say that as you start week 6!- the course doesn't provide sufficient material for the final assignment. you get stuck without knowing how to get to answers;- some answers to the final assignment are not correct, you check the answer sheet, and the results aren't present in the test!overall:i'd never recommend this course to anyone. i only took it because i'm plannening to finish the specialization.i've taken several online courses (5+ on excel), and this is the worst and most frustating one by far!",0
2758,yet another good course that is ruined by a peer review requirement. dr. singer is a fascinating person to learn from and i am glad i took the time to pursue the course.,0
4321,quiz does not require hands-on experience of creating templates but rather simply plugging in numbers. students may forget most of the content after finishing the quiz.,1
65400,explanations of concepts are too complex for non-biologist who want to approach the genomic field,0
94621,great lectures and really helpful simulations. very engaging and interesting. full of useful resources.,2
72634,"i've spent a bit of time going through the specialisation (paid for one course here) and other courses online that offer machine learning with python. i looked at books too. i've come to the conclusion that it's unforgivable to teach it using graphlab (that you have to pay for after free licence expiry) when everyone else teaches scikit learn (sklearn) for good reason.the tools used on this course are also not very good.everyone else teaches using text editors - for a good reason, you learn how to code properly.the lessons are also dry and there are far too many of them.",0
93436,"i'm giving this course one star because zero stars is not an option.i wish i had read course reviews prior to beginning. first assignment was tough... but do-able. second assignment seems straight forward, but the template they ask that you follow contains small tricks which appear to be far beyond anything touched on in lectures.i'm actually going to fight for my money back, what a scam.",0
84755,good introduction to the material.,2
19969,important course for anyone...essential for energy professionals.,2
30038,"the course information is very interesting but covers the material too briefly. the topics were covered very quickly and not in very much depth. quizzes often asked questions in a way that was not covered in the course material and were therefore quite difficult to figure out at times. i'm taking this course series to learn the material, not to be tricked of failed on a quiz. also as this is a rather math-intensive subject, a more comprehensive review of the algebraic tools and skills required would be helpful. lastly, there were many mistakes with grammar and spelling in the written portions. i know english isn't everyone's first language, but if we are paying for these educational materials then it doesn't look very professional for there to be glaring errors repeatedly throughout the material. it's not that difficult to have a native speaker proof-read before publishing (i would be happy to do this for you, any job openings?). just some thoughts.",0
76120,awesome course. nice materials provided to learn for beginners.,2
88245,very nice theory and very useful practical case with all advises that help to get the best results! appreciate everyone from uci and margaret for this chance to master project management!,2
57603,"it was really an excellent course. it was challenging but feasable with a huge quantity & quality of knowledges. i have learned a lot of things about machine learning. thanks a lot, mr andrew ng",2
76115,fun but easy,2
25348,really great and interesting course!professor is a great speaker too!,2
64489,this course is awesome. it teaches from the ground and easy to understand all the contents.it helps to build up concept and is very helpful for further detail study in the same topic .,2
8521,great course with great instructors,2
3566,so so.not good to learn an algorithm,1
42434,"good, informative and precise. thank you prof. doug thomas.",2
2666,thank you,2
38673,"the course doesn't allow access to the quizzes unless you pay for it. i consider this to be contradictory with the statement that the free version of the course gives you access to all the material. also, not being able to take the quizzes makes the course meaningless.",0
93723,great course for a shallow introduction to r programming.,2
39220,i feel like 8 weeks was too short and the project was too rushed. but overall of good value.,2
12146,"given the nature of law courses (a lot of reading), there needs to be a great deal more written information on the lecture slides. quotes from pieces of legislation, judgements from various courts, quotes from politicians etc. need to be provided on the slides, otherwise students are either left to search through the transcript, which contains numerous spelling and grammatical errors, or write what prof. gearey is saying which means continuously stopping and starting the lectures to get it all down. in short: better lecture slides with more information on.",1
15311,"a decent start for anyone interested in learning the basics. however, please make sure you add extra efforts from your end in understanding stats concepts if you are totally new to the subject as well as browsing things related to usage of sas or python. the course touches only the basics so it is up the learner to explore and learn more about interested statistical tool.",1
6278,"excellent course, with a great variety of topics regarding animal welfare.",2
10657,"needed more depth, which still could have been achieved in a 1-week format",1
16569,cyber security is miniscule in the topic. mobility poses severe cyber security threat and syllabus is talking about mdm which is for compliance and cyber security.,0
39911,great lessons i would hope it would be more extensive in terms of lessons. i hoped for more detailed technical music theory.,2
23049,"i actually enjoyed this class very much, but it doesn't go very deep in the topic. the questions to the quiz are very easy to answer to. in my opinion, this class is great for a general public, but it is not an university level course.",1
93793,"it is fantastic! thank you roger, brian and jeff!",2
94464,"given the importance of this subject, this course should have been split in two or more or have a longer duration to properly address subjects as glm or model selection techniques.",1
2209,it's a good class and i learned a lot. the learning curve shoots up exponentially around the fourth week. i could see this course being perfect if broken down into two classes.,1
94996,"the course doesn't feel complete, the information and techniques used for assignments can be found completely online through documentation and instead this is merely an exercise for doing basic analysis through documentation rather than an explanation of python through data science (which is what i anticipated)",1
80967,wow! i really learned a lot in this course! i will certainly be recommending this,2
102275,course academy and historic,0
97400,not so practical,1
63015,it's a grate course with an important topic for all hobby conductors. i'd learn a lot of practicable things to conduct and rehearse an orchestra of hobby musicians.,2
48399,"i can access to some contents: videos and lectures, but i can not send quizzes or assignments and to get feedback without paying a fee for this course, very limited! :(",0
9799,it's better to watch the youtube videos to understand the concepts.,0
101405,"i believe this was a very good course for beginners. however, from wharton, i would have expected more realistic examples. i would have also liked some hands-on assignments. but, otherwise.. great, great course from a beginners point-of-view! thank you so much!",1
104677,"i thought the videos and interviews were great but i would prefer these separated from the lectures on tangible material. i kind of feel like the course was rudderless and just gave some headlines and then said to go figure it out on your own, but be inspired by all of these extremely successful people. i would like to see the course get into more depth, for example where to start on market research. where to start on budgeting, and how to go about developing some of these specific business aspects. i enjoy shlmo's lectures but just wish some of this course ""zoomed in"" to me and seemed too ""zoomed out""",1
17966,"none of the previous classes will prepare you for this one. this is not really a class, but rather a project on a topic never covered in any of the previous classes in this specialization.",0
66704,"it was a very interesting course, however it was biased toward spanish history with the inclusions. i was really more interested in what i thought the course was supposed to be about anyway, medieval manuscripts. i had a terrible time deciphering the lecturer's english and, because i'm not interested in a course certificate, the course projects were a waste of my time, though i can see that they could be fun and add to the enjoyment of the course.",0
56981,excellent platform to get started with ml!,2
36505,this is exceptional and very helpful. this is really helping me out to understand what actual risk is and related matters to it.,2
48703,"i think it is a decent course to understand how the peer review process work. however, it does not really help to write a paper. i think some ideas are not applied to every field. in particular, telling students to look for the board of editors in a journal and adapt your results and how you express things accordingly, it is in my opinion a bit unethical. moreover, i was expecting that the course will be taught by a professor, but instead, it is done by a group of phds, some of them in their first year of research. if they intend to target a phd audience, this is clearly a drawback as some of them might know the same as you do. finally, as some people already pointed out, the quality of the english of some of the instructor is not good. in particular, there are a couple of them that you can't barely understand. it would have been more useful if the full course is taught by the 2 of them that can actually speak good.",0
33400,it was harder than i have thought,2
92036,"awesome stuff. useful things covered, but the student should be able to be tested in creating himself code, not just run or (simple( edit the existing code.",1
39351,"this course has some great information and guidance for delving into the social media landscape. however, the tools that come with the paid version are not easy to use or well explained for the lay person.",0
3609,dijkstra and a star algorithms courses are a bit short,0
9328,i love the explanation,2
90435,whilst i can see why the idea of reproducible research is important there was't really enough material in this course for the full four weeks - and in fact a lot of the videos repeated the same information.,0
61683,"only average. much is said, little information delivered.",1
90297,"the videos should be completely reconsidered. instructors pointing at virtual points on screen does not help at all. the course creators tried to squeeze in many concepts in 4 weeks. more examples should be provided in lectures, not just abstract math (e.g. lectures on projective transformation).",0
78768,"a lot of good information, but i found it hard to retain most of it without a less dry style of presentation. assignment were quite hard, and instructions were a bit too sketchy.",1
17770,"good, simple, straightforward, and applied. it starts to introduce you to the language and platforms of data science, but it is most definitely not a standalone course if you want to be conversant in the field. really just a ""taster"" to get you into the specialization.",1
99899,"it was easy to 'complete' the course, but i have failed to implement its suggestions. i think i will have a better idea of what to do once i actually follow the techniques.",1
30850,a good clear examination of basic punctuation and grammar. the lectures are well presented and the exercises useful. the element which really doesn't work is the peer assessment or review. this seems intended to replace forum discussions but it is not a good substitute (and there are no forums).,1
105429,after almost a year i am still waiting to receive my grade of 90%+ for c,0
38015,excellent training!,2
63872,a very good and extensive tutorial for beginners.,2
2930,"a marvelous teacher, i am so fond of his style! he makes calculus a real fun.",2
42439,"a good starting point in urban infrastructures management, but too theoretical.",1
92191,"this is really fantastic, thanks dr. chuck",2
85978,more practical examples on project management processes would add value to this course.,2
90695,"would of liked to see more programming examples in the lectures. but all in all, fun course!",1
104802,it's a very interesting topic but i had to rely on a text book to understand it! i struggled to understand the lectures and reconcile it back to the quizes.,0
79265,good course with well explained topics.,1
103909,i'd like to have practice tasks during the course not only the final one,1
95505,"total disaster. i payed 315euro for this course. course started on 24/10/2016. i faced with technical difficulties till this weekend. i reported this problem already many times.. finally this weekend the jupiter notebook worked and i started the first assignment. i spent many hours but still couldn't get solve the assignment. i read discussions, write post.. searched on google.. read lots of document. i still couldn't get what the correct answer is the assignment wants. i realized that it is impossible to pass this exam. in the lectures they don't mention anything which will help you to solve this time consuming assignment by the way.. after having this terrible course experience this weekend, today (14/11/2016) i decided to apply for refund. but guess what i says 14 days have passed so i cannot get refund!!!! now i payyed 315 euro for nothing but disappointment!!!!",0
99555,one of the best online course i have taken till now.thanks for making angularjs learning so much fun!!,2
102726,i am just not feeling this course. i have done up to week five and still am not hooked. sorry!,0
99399,it's such a awesome course for beginner. tutor is also teach very flexible way. you can learn more in angular if you register it. thankx,2
39499,very informative of latest technologies,2
54400,"thinking back, i also really enjoyed this course, particularly andew ng.",2
57034,good teaching and good materials to have. this is one of the best courses you could have in the internet.,2
26324,this is my first course about web development. i am very grateful to mr. yaakov chaikin. i got the right direction and a lot of new knowledge for further study. this course to anyone. you will not regret the time spent.,2
89097,"well. it really covers the basic and foundation of philosophy. i myself, love quotes about life and all. as such, when it comes deep down to these, i didn't really enjoyed the course as much as i thought i'd. nevertheless, this is a decent introductory course if you are looking to know a slice of philosophy. do take note that a lot of reference with regards to the past philosophers are introduced as well. you are basically fed with all their beliefs. but do take them as a pinch of salt. what matters the most are your thoughts and views. keep them open!",1
17123,welcome challenge. informative but easy to follow for a tech dumb newbie,2
21297,pretty useful introduction to various plotting tools and some deep down insights as well.,2
79460,"course is ok, not too informative and not too poor.",1
97589,not updated data,1
36858,"nothing to do with iot, misleading title and waste of time, apart from several incorrections in the novel narration.",0
1928,i really did not like the portion that went into detail about business analytics and related career paths. not a technical skill or ne,0
106691,"introduction course to other courses, not much to learn here. and also some quizzes question were never addressed on the content.",1
82673,week 3 assigment had little relationship with the material presented in the course. week 4 needs quite a lot of polish...,1
23704,i totally enjoyed watching it! thank you! i'll recommend it to my family and friends.,2
11895,great course! the material is very well presented. highly recommended.,2
24832,"this class was bizarre. some of the content and lecturers was fantastic, but some lecturers were quite dull and some lectures and quizzes were poorly written and misleading. the class was also strangely designed and executed: the amount of content per week varied significantly; the vast majority of the content was in a very specific energy sector (biofuels) and other key sectors were almost entirely overlooked; it also seems like the content is already a few years old. it was more of a description of ucsd's research than of the ""future of the energy"".",0
105689,this is one of the best courses that i've ever seen! and this is so crucial for us to understand everything claimed here and make our world sustainable. thank you for the course!,2
43067,this course was very helpful. could not be more grateful for the information.,2
20582,my name is jose antonio from brazil. i am looking for a new data scientist career (https://www.linkedin.com/in/joseantonio11)i did this course to complete my cv in english to the area of data science.the course was excellent and the classes well taught by teacher karen peterson.congratulations to coursera team.,2
102330,really good for this modern era.,2
72591,"an in-depth overview of the regression techniques and models. i think it went as deep into the concepts as i wanted it to go. being a developer i found it quite understandable, and useful.keep it up!",2
42939,the course was fun and engaging. also i really like the follow up emails with random bits of advice on how to learn and interesting recommendations for further reading material and exploration.,2
27725,"great course. i have a bs in physics from colorado school of mines, which is a tough school, and they didn't explain it as well",2
88727,"i really didn't learn much. too much code, too complex, too fast.",1
30112,"this course was wonderful. i learned new things about grammar and punctuation i don't recall learning in grade school while blending and improving my known knowledge. a tip for those thinking of just enrolling in one or two random courses of the five specialized courses, enroll in all. it is worth it even if you think you know. for instance, some of the papers in advance writing expect you to know some of the previous courses info and that could lead to some misunderstandings or struggles on quiz/peer reviews.",2
10624,"it was a bit.... general. that could be a bias of mine, as i have done quite a bit of management-type work, so maybe it didn't feel that new or informative.",1
90166,great course but programming assignments in matlab had too many issues.,1
25119,"this course did not make any effort until i had to dig deep into biology by myself. the course content is insufficient. i think if a sample input was used and every field of the input were explained and also the outputs were explained then it would make much more sense. poorly designed and demonstrated. thankfully i started the last assignment very quickly, it took me 10 days to understand how to proceed with the assignment. the ta is excellent, without his help i wouldn't pass this course.",0
96755,thank you for this best lecture.,2
57550,i recommend this is a good course for machine learning .......... :d,2
80205,more practical projects&homework would be great!,1
63882,"i like this course because of its step by step explanation and real computing problems. on the other hand the last exercises is a bit boring for me especially. i hope i will finish this course . i also want to recommend to everybody who is just started to learn computing, may be you must be good in english.",2
18835,good hands on intro,2
42824,"this course helped me a lot throughout lifelong learning process. from exercise to deliberate practice, procrastination, focused and diffuse mode, task-management, chunking, memory palace, pomodoro technique and many more... thank you so much to dr. barbara oakley and the whole team of lhtm.",2
104499,high on opinion and low on scholarship.,0
13031,"i was a very very useful course, specially the heatmap plot generation and r language lab exercises was great!",2
103951,the quality of the course is not as i expected from a coursera course.,0
29073,"an amazing course. interactive, relevant and absolutely fun. raj is a great inspiration.",2
102393,wonderful course where you can really and honestly evaluate yourself !,2
25364,just read the ppt,0
15038,it's way to easy to be a separate course. it should be part of r programming.,1
12849,"the only reason to take this course is because the certification will look good on your resume. don't expect to learn anything new if you are already in it or related field. i passed the tests without going over the material. there is a shortage of original content, although their graphics and effects department did a good job, and mostly they expect you to read outside resources.audit the course for free to get familiar with the content but only pay if you need the certification for professional reasons.",0
77242,it's a great intro course to pythonprofessor severance is really great and brings it down to the lowest level one can understand.the assignment tool is pretty great as well. gives you the errors you need to work on.,2
72190,great insight. helps in understanding the significance of their contribution to rock and how they progressed as musicians and songwriters.,2
27235,very interesting course if you want to have an overview of how climate works. you will understand what we know but most importantly what we do not know on the subject. sadly there was no feedback at all from teachers...,1
13458,updated and entertaining!!,1
48165,"well presented, great communication and relevant content. the course was well designed and coordinated.",1
6651,badly taught,0
67579,"this course started off easy, and became challenging in the last 3 weeks. but a lot of details were covered in the slides and also the forum helped deepen my understanding of the material, and i was able to get through the course. i enjoyed the course!",2
4519,"im in week 4 , cant master data analysis in excel",0
54134,great class for ml beginner.,2
70420,too fancy and the structure is not very clear. not very much learned.,0
18885,very good at explaining design principles and to get the students thinking of making simple visualizations that convey a story.,2
18469,"no consistency, from very easy web design fundamentals to advanced javascript with no explanation videos to help over a series of quizzes and assignments in week 3 lesson 3.",0
34614,"a very basic course, suited for those who are getting started on physical activity.",1
94805,lecture presentation is very very robotic. it's hard to follow the lecture without proper diagrams or examples.,0
38496,good cource. however more details should have been better,1
106225,i was expecting the capstone to be different than what it ended being. i didn't find it as practical and beneficial as the other courses.,0
39524,"interesting information, but the presentation of it is poor. the speaker is almost entirely reading from the powerpoint presentation you're being shown - they could have let you download that and you wouldn't have missed out on anything, really. disappointing.",0
66723,really well-explained introductory course for negotiations.i would have liked to see more reading materials and real cases explanaied apart to apply the concepts,2
7601,i think it pretty good for me to learn health!,2
90167,"this was an interesting course, however there were bugs and errors in most of the assignment materials, which really impaired the learning experience since much of it was reduced to debugging the course organiser's code... also the 3rd and fourth sections, including assignments, seemed to be rather small and to cover very little material, with little or no supporting material. moreover, course staff were conspicuous by their absence on the course forums. a stark contrast to the abundance of support provided and material covered in aerial robotics.",0
86310,"excellent course, very practical and based on a good theoritical foundation.",2
33472,i learn a lot from this course thank you ;)my next course will be css3 !!,2
47883,my first course on coursera and i am enjoying it a lot.,2
47258,great course! excellent resources included! you can complete the entire course in a few hours.,2
43060,"great course, enjoyed very much the journey. thanks for sharing your knowledge in such a pleasant way!",2
99134,"great course, fundamental but gives a clear picture of wind energy technology from all perspectives. hoping that more detailed courses of wind turbine will be delivered in the future.",2
72964,very enlightening and informative course,2
20510,too bored,0
14001,the word 'toolbox' made me think there was more in the course. 'introduction' or maybe' overview ' may have been more accurate. good course otherwise.,1
85803,awesome and informative course,2
25108,"great introductory material, please do suggest more reading material!",2
69882,"terrible lecture videos with many typos, absence of lecture notes, absence of course staff on a discussion forum. maybe suitable for those who is alredy a scientist and just need to get some general sence of data science.",0
73396,perfect depth to help with my a - level biology course,2
14236,"instructor speaks very fast so that i read subtitles instead of hearing what he say, in addition to i stop video more times to understand what he say, but totally the scientific and technical contents are great also his advises for us in which how we can find the answers for our questions about data science",1
22213,great learning experience! thanks a ton to the john hopkins university for offering such a wonderful course!,2
4493,"the later part of the sessions lacks practical applicability and it is more abstract, that i find difficult to relate",1
18805,ready to use my new iot skills -a developer's guide to the iot! http://ibm.co/1qfzw9m via @coursera #devguide4iot,2
103429,"i do not want to rate this course at this stage but i would like to make the following comment in relation to the course resources and in particular the answers to the exercises in the optional text book.for students who do not have a copy of the text book, providing answers to questions from the text book without showing the actual questions is not very useful and to be quite frank, ridiculous. i would like to think that the course designers would take some sort of appropriate action to remedy this.how exactly this would be done is up to the course designers but i would suggest that another downloadable pdf document showing all the questions would be extremely useful and necessary.i look forward to a response.regards, trevor farley",0
74931,"i really feel like i have a solid foundation after this course. there is still a lot to learn, but i definitely know more now than i did before! (and i'm sure that was the main point)",2
55221,"this course is really great to get an insight into machine learning algorithms, when and how to apply them. the videos are fun to watch, as well as the programming assignments.",2
40878,"compared to other courses in the specification, this course content is too shallow and brief.",1
63375,was not as good as previous courses in this specialisation,0
43554,"i wish i had taken this course 25 years ago. that said, this comes at a good time -- i'm pivoting my career. it really feels like applying these lessons could get me from an okay trajectory onto a great trajectory. this is the missing piece!",2
47816,i learnt many useful trick with this course. i recommend it.,2
36115,excellent course! however tough to manage all the technical terms if you're a newbie ;),2
63652,very well explained.tried to cover basic in very systematic way.,1
35201,great course!!,2
84217,highly effective course for me and my data science skills,2
79606,i loved this course and think everyone making music should take it!,2
37520,did not email when graded and had to email for everything to be fixed. example projects were not similar at all to actual projects and relied heavily on search engines to figure out what was asked of me,0
