sl no.,Review,Label,Entity 1,Entity 2/Keywords,Entity 3/Keywords
13,"Professors need to undergo a presentation and Instruction Design skills. They were talking a lot and everything was going over my head, the reason was there were not visual prompt for the examples, specifically in the last week.",Negative,Poor Instruction Style,,
14,"While I enjoyed this course and the topics covered, I don't feel like the course content matched what the course description stated it was supposed to. I enrolled in the Business Analytics Specialization course with a focus on analyzing a business from the inside, not outside. Of the 4 weeks of the course, I'd say that only week 4 was valid from an internal perspective but it was kept very high level. I'd say this course could be good for a specialization in business market analysis, but not as advertised.I also found the cartoon classroom questions to be very annoying, almost as Poor as fingernails on a blackboard.",Negative,Poor Course Content,,
15,"I didn't like that course because of:-weak explanations of algorithms-almost all assignments I googled, I spent all my time googling these algorithms-when code is submitted and something goes wrong It is not possible to understand what is really happened",Negative,Poor Course Content,,
16,poor course. never give any algorithm. No clue where the problem come from. The forum is only help a few people. No general ideas how to solve the problem. waist a lot of time debugging but still couldn't pass the assignment.total waste my time and garbage course.,Negative,Poor Course Content,,
17,"Inadequate student and teacher participation on forums, leaving students to figure things out without assistance or collaboration. Insufficient explanation of math concepts required to fully understand lectures.",Negative,Poor Instruction Style,,
18,"The male Professors seem to speak Chinese half the time, therefore not being able to understand the material for students who aren't fluent in Chinese. I prefer the female Professor from Advanced Neurobiology I who presented the material in English, and in an engaging and coherent way.",Negative,Poor Instruction Style,,
19,"while the task of summing up a lot of information in a minimum sized presentation is always a very difficult task, the structure of the material presented was not optimal. This in turn made it difficult for me personally to actually connect the weekly information presented with the overall meaning and the objective of each module. The ""why"" and ""how"" of most modules fit to the meaning we are forming (up to week 5 -the point I am leaving this class) is not evident. Last, some of the questions contained ambiguities that could not be reasonably clarified even going back and reviewing the material of the specific segment. Thank you for the offered class in any case.",Negative,Poor Course Materials,,
20,"Extremely poor quality of instruction. The lectures themselves are little more than the material being read directly off the slides by an individual with a poor grasp on the English language. The majority of the slides are walls of unclear and non-descriptive text. Even with reading directly from the slides, the lecturer is overly circumstantial in her explanations if not just outright tangential. I commend the authors for putting together a course outside of their native language but, in this case at least, it does more harm than good.In short, this course has the air of a group of first year students giving a presentation verbatim from the slides, as another commenter also mentioned below.",Negative,Poor Course Content,Poor Instruction style,
21,"I was disappointed because the name is misleading. The course provides a good introduction & overview of the responsibilities of the CTO, but has very little specifically digital content. It deals with two-speed IT in a single short lecture, so of course the treatment is superficial. It is easy to find more in-depth material freely available, on the McKinsey website for example.",Neutral,Poor Course Content,Misleading Name,
22,I'll start by saying that this course gives a good insight into a wide variety of applications of 3D printing. There are lots of interviews with people who have or are leveraging additive manufacturing in original and effective ways. The last week of the course also introduces an interesting and seemingly effective framework for design thinking.The reason that I've only rated 3 stars however is that the only useful thing you learn in this course is the design thinking framework. I think that it would be better if these videos were scattered throughout the rest of the specialisation. I do see value in including this material in the specialisation but not as an outright course.,Neutral,Good Material,Poor Overall Course Content,
23,"I love the professors, but unfortunately, I do not feel much connection to me (not really seeing so much importance for me to identifying if a company is making fake financial statements; I am not an investor, and my everyday work does not really have so much to do with financial statements).The Managerial Accounting (week 4) transforms my mindset!! I really appreciate that. That one single week of course can literally help so many companies/NGOs. That week 4 should be promoted more!!",Neutral,Good Instructor,Poor Course Content,
24,"I liked it, although I felt like they were 2 courses: One for the first three weeks, another one during the last week.The ""First Course"" was OK, but it was regular accounting stuff. I was rusty on that so I enjoyed it.The ""Second Course"" was the one related with Analytics.I give it 3 Stars because you can see some lack of preparation in the team. And because didn't made a proper link between Accounting and Analytics.",Neutral,Good Course Content,Lack Of Preparation,Missing Link
25,While I like the content of the course but I felt too much of topics were crammed into one single course. I had to struggle a lot to grasp the concepts on advanced algorithms by just relying on video lectures so I had to look around in the internet for additional resources. Nonetheless it was a satisfying experience though it took me a lot of time and effort to complete the assignments.,Neutral,Poor Course Content,More Subjects in a course,
26,"The instructor does an excellent job, but realistically there is no way to be proficient enough in a 3D software program after a week or two to earn a certificate. The certificate is worthless in my opinion. I liked the class but it seemed more like intro vs. a class of any proficiency required.",Neutral,Good Instructor,Poor Course Content,Poor Timeline
27,"Honestly, for something that says ""Advanced"" in the title, I thought it was a little too basic. There isn't enough depth and a lot of it involves common sense. Perhaps a more case-study driven course would have been interesting with more qualitative, essay responses required rather than cut-and-dry multiple-choice.",Neutral,Less Depth in the course,Poor Course Content,
28,"The course is fine as far as content. My complaint is that there is no one to contact regarding papers or questions. You are left to the other students for your grading and assignment completion, meaning that some of your assignments can hang there for weeks before ever getting reviewed.",Neutral,Good Course Content,Poor Assignment Grading ,
29,"It has good content, but there were missing classes to give more advices or clear any question students have, when grading peer review homeworks there were plenty of mistakes that would have been avoided if there were more video lectures or forums with teachers.",Neutral,Good Course Content,Missing Forum,
30,"So far the topics are very interesting but the accent of the teacher is sooo difficult to follow and distracts me! Also, she is looking down to read all the time and this doesn't reflect her knowledge.",Neutral,Good Course Content,Poor Instruction Style,
